Unique ID,Title,Category,Source,Owner,Status,Propused URL
1,Wheat,Brewing,http://en.wikipedia.org/wiki/Beer_measurement#By_strength,Nigel,needs editing,beer101.com/brewing/wheat
2,Pale Ale,Types,http://en.wikipedia.org/wiki/Pale_ale,Nigel,needs editing,beer101.com/types/paleale
3,Stout,Types,http://en.wikipedia.org/wiki/Stout,Nigel,needs editing,beer101.com/types/stout
4,Wheat Beer,Types,http://en.wikipedia.org/wiki/Wheat_beer,Nigel,needs editing,beer101.com/types/wheatbeer
5,Hops,Ingredients,http://en.wikipedia.org/wiki/Hops,Nigel,needs editing,beer101.com/ingredients/hops
6,Bottle,Storage,http://en.wikipedia.org/wiki/Brewing,Nigel,needs editing,beer101.com/storage/bottle
7,Lager,Types,http://en.wikipedia.org/wiki/Lager,Nigel,needs editing,beer101.com/types/lager
8,Ale,Types,http://en.wikipedia.org/wiki/Ale,Nigel,needs editing,beer101.com/types/ale
9,Golden Ale,Types,http://en.wikipedia.org/wiki/Ale#Golden_ale,Nigel,needs editing,beer101.com/types/goldenale
10,Old Ale,Types,http://en.wikipedia.org/wiki/Old_ale,Nigel,needs editing,beer101.com/types/oldale
11,Mead,Types,http://en.wikipedia.org/wiki/Mead,Nigel,needs editing,beer101.com/types/mead
12,Malt,Ingredients,http://en.wikipedia.org/wiki/Malt,Nigel,needs editing,beer101.com/ingredients/malt
13,Draught Beer,Storage,http://en.wikipedia.org/wiki/Draught_beer,Nigel,needs editing,beer101.com/storage/draught
14,Cask,Storage,http://en.wikipedia.org/wiki/Cask_ale,Nigel,needs editing,beer101.com/storage/cask
15,Keg,Storage,http://en.wikipedia.org/wiki/Keg,Nigel,needs editing,beer101.com/storage/keg
